Target_Bin_id,Num_of_seqs
Loc080925-4m_megahit_metabat_bin-0754,24
Loc081215-8m_megahit_metabat_bin-0588,157
Loc081215-6m_megahit_metabat_bin-1012,10
Loc080925-5m_megahit_metabat_bin-0737,8
Loc090519-8-7m_megahit_metabat_bin-1066,42
Loclat_megahit_metabat_bin-07771,7
Loc081215-9m_megahit_metabat_bin-0489,28
Loc081215-9m_megahit_metabat_bin-1813,25
Loc090519-4m_megahit_metabat_bin-265,71
Loc081215-5m_megahit_metabat_bin-1836,43
Loc090907-8-6m_megahit_metabat_bin-476,17
Loc081215-1m_megahit_metabat_bin-1787,50
Loc081215-5m_megahit_metabat_bin-0026,17
Loc090402-8-9m_megahit_metabat_bin-1077,37
Loc090116-4m_megahit_metabat_bin-0739,34
Loc090519-8m_megahit_metabat_bin-1656,14
Loc081215-1m_megahit_metabat_bin-1071,17
Loc090519-6m_megahit_metabat_bin-1262,47
Loc090519-7m_megahit_metabat_bin-0482,22
Loclat_megahit_metabat_bin-19277,15
Loc081215-9m_megahit_metabat_bin-2183,13
Loc090721-5m_megahit_metabat_bin-585,28
Loc090907-5m_megahit_metabat_bin-904,42
Loc080925-5m_megahit_metabat_bin-0750,15
Loc080925-6m_megahit_metabat_bin-0243,12
Loc090519-5m_megahit_metabat_bin-1085,12
Loc090519-6m_megahit_metabat_bin-0184,38
Loclat_megahit_metabat_bin-14191,15
Loc090907-5m_megahit_metabat_bin-877,45
Loc090402-4m_megahit_metabat_bin-0508,153
Loc081215-5m_megahit_metabat_bin-1484,455
Loclat_megahit_metabat_bin-14382,18
Loc080925-8m_megahit_metabat_bin-669,56
Loc090519-1m_megahit_metabat_bin-1815,549
Loc090116-9m_megahit_metabat_bin-0216,96
Loc090402-1m_megahit_metabat_bin-0758,42
Loc081215-8m_megahit_metabat_bin-2582,162
Loc081215-1m_megahit_metabat_bin-1116,13
Loc081215-5m_megahit_metabat_bin-1543,16
Loc090519-1m_megahit_metabat_bin-0712,272
Loc081215-6m_megahit_metabat_bin-1022,11
Loclat_megahit_metabat_bin-07849,938
Loc090907-8-6m_megahit_metabat_bin-711,8
Loc090519-6m_megahit_metabat_bin-1104,20
Loc081215-9m_megahit_metabat_bin-1536,25
Loc081215-1m_megahit_metabat_bin-1906,32
Loc081215-9m_megahit_metabat_bin-0972,18
Loc090519-8-7m_megahit_metabat_bin-1870,46
Loc090721-6m_megahit_metabat_bin-570,807
Loc081215-8m_megahit_metabat_bin-1446,36
Loc080925-4-5m_megahit_metabat_bin-0819,66
Loc090907-5m_megahit_metabat_bin-015,31
Loclat_megahit_metabat_bin-08436,27
Loc080925-8-8m_megahit_metabat_bin-408,60
Loc090519-1m_megahit_metabat_bin-1035,53
Loc080925-4m_megahit_metabat_bin-1091,51
Loc081215-5m_megahit_metabat_bin-1147,47
Loclat_megahit_metabat_bin-04834,37
Loc080925-4m_megahit_metabat_bin-0289,48
Loc090402-4m_megahit_metabat_bin-0418,17
Loc090519-4m_megahit_metabat_bin-469,452
Loc090116-4m_megahit_metabat_bin-0731,18
Loc090519-1m_megahit_metabat_bin-2175,31
Loc090721-8m_megahit_metabat_bin-375,49
Loc081215-4m_megahit_metabat_bin-1347,53
Loc090907-8-6m_megahit_metabat_bin-376,10
Loc090721-7m_megahit_metabat_bin-566,472
Loc090519-5m_megahit_metabat_bin-0023,18
Loc090116-8m_megahit_metabat_bin-0885,28
Loc080925-7m_megahit_metabat_bin-0636,44
Loclat_megahit_metabat_bin-08297,83
Loc090402-7m_megahit_metabat_bin-0646,12
Loc090116-9m_megahit_metabat_bin-0837,56
Loc081215-5m_megahit_metabat_bin-2146,31
Loclat_megahit_metabat_bin-10232,24
Loclat_megahit_metabat_bin-08303,51
Loc090402-8-9m_megahit_metabat_bin-0830,25
Loc081215-6m_megahit_metabat_bin-0705,53
Loc090402-8-9m_megahit_metabat_bin-0944,31
Loc080925-4-5m_megahit_metabat_bin-0349,31
Loclat_megahit_metabat_bin-18526,33
Loc090116-9m_megahit_metabat_bin-0079,10
Loc090116-9m_megahit_metabat_bin-0148,61
Loc081215-8m_megahit_metabat_bin-2261,37
Loc081215-4m_megahit_metabat_bin-1239,11
Loc090907-6m_megahit_metabat_bin-651,34
Loc080925-6m_megahit_metabat_bin-0972,14
Loc090519-6m_megahit_metabat_bin-0434,41
Loc080925-4m_megahit_metabat_bin-0164,18
Loc080925-8m_megahit_metabat_bin-726,27
Loc090402-7m_megahit_metabat_bin-1177,111
Loc090519-8-7m_megahit_metabat_bin-1685,14
Loclat_megahit_metabat_bin-07373,28
Loc090116-9m_megahit_metabat_bin-1358,42
Loc081215-8m_megahit_metabat_bin-2755,19
Loc090721-8m_megahit_metabat_bin-176,19
Loc081215-8m_megahit_metabat_bin-2548,12
Loc081215-6m_megahit_metabat_bin-0658,71
Loclat_megahit_metabat_bin-09717,47
Loc081215-5m_megahit_metabat_bin-0097,52
Loc090116-1m_megahit_metabat_bin-1259,16
Loc090519-8m_megahit_metabat_bin-1712,29
Loclat_megahit_metabat_bin-01690,11
Loc081215-1m_megahit_metabat_bin-2285,476
Loc080925-5-5m_megahit_metabat_bin-0382,44
Loc081215-5m_megahit_metabat_bin-0657,23
Loc090519-6m_megahit_metabat_bin-0335,19
Loc090519-8-7m_megahit_metabat_bin-1849,28
Loc090721-6m_megahit_metabat_bin-518,12
Loc080925-4m_megahit_metabat_bin-0247,62
Loc090721-5m_megahit_metabat_bin-712,30
Loc090721-8m_megahit_metabat_bin-100,136
Loc090402-4m_megahit_metabat_bin-0402,49
Loc081215-9m_megahit_metabat_bin-1832,22
Loc090116-8m_megahit_metabat_bin-0207,33
Loc081215-8m_megahit_metabat_bin-1677,50
Loc090519-1m_megahit_metabat_bin-1047,19
Loc081215-9m_megahit_metabat_bin-2320,13
Loc090402-8-9m_megahit_metabat_bin-0862,20
Loc090721-8-6m_megahit_metabat_bin-0070,43
Loc090116-9m_megahit_metabat_bin-1642,50
Loclat_megahit_metabat_bin-17914,36
Loc081215-5m_megahit_metabat_bin-0709,62
Loclat_megahit_metabat_bin-07793,44
Loc090519-1m_megahit_metabat_bin-1004,43
Loclat_megahit_metabat_bin-18310,67
Loc080925-8-8m_megahit_metabat_bin-279,12
Loc090116-1m_megahit_metabat_bin-0892,36
Loc080925-6m_megahit_metabat_bin-1250,23
Loc090402-4m_megahit_metabat_bin-0140,1430
Loclat_megahit_metabat_bin-20309,141
Loc090519-1m_megahit_metabat_bin-0720,54
Loc080925-8-8m_megahit_metabat_bin-269,26
Loc090116-8m_megahit_metabat_bin-1732,25
Loc081215-4m_megahit_metabat_bin-0551,28
Loc080925-6m_megahit_metabat_bin-1426,10
Loc090116-8m_megahit_metabat_bin-0624,55
Loc080925-7m_megahit_metabat_bin-0434,17
Loclat_megahit_metabat_bin-03575,10
Loc090519-6m_megahit_metabat_bin-0604,21
Loc090519-1m_megahit_metabat_bin-1753,37
Loclat_megahit_metabat_bin-11268,10
Loc090721-8m_megahit_metabat_bin-566,34
Loc081215-4m_megahit_metabat_bin-1497,22
Loc090721-4m_megahit_metabat_bin-0302,21
Loc090519-8-7m_megahit_metabat_bin-0642,14
Loc090116-9m_megahit_metabat_bin-1033,13
Loc090519-4m_megahit_metabat_bin-053,17
Loc081215-5m_megahit_metabat_bin-1046,23
Loc080925-7m_megahit_metabat_bin-0266,6
Loc081215-6m_megahit_metabat_bin-0280,15
Loc081215-5m_megahit_metabat_bin-1245,23
Loclat_megahit_metabat_bin-08874,22
Loc090402-4m_megahit_metabat_bin-0837,10
Loc080925-5m_megahit_metabat_bin-0412,66
Loc090116-8m_megahit_metabat_bin-0705,19
Loclat_megahit_metabat_bin-04758,14
Loc090721-4m_megahit_metabat_bin-0894,327
Loc080925-5-5m_megahit_metabat_bin-0843,24
Loc081215-9m_megahit_metabat_bin-1371,89
Loc090519-6m_megahit_metabat_bin-0797,97
Loc090519-1m_megahit_metabat_bin-1615,19
Loc090907-8-6m_megahit_metabat_bin-083,26
Loc081215-1m_megahit_metabat_bin-0099,134
Loclat_megahit_metabat_bin-14142,31
Loc081215-1m_megahit_metabat_bin-1939,19
Loc081215-9m_megahit_metabat_bin-1540,19
Loc090721-8m_megahit_metabat_bin-046,2507
Loc080925-6m_megahit_metabat_bin-1326,69
Loclat_megahit_metabat_bin-04819,21
Loc090519-1m_megahit_metabat_bin-2050,23
Loc090907-8m_megahit_metabat_bin-225,80
Loclat_megahit_metabat_bin-09579,208
Loc090402-8-9m_megahit_metabat_bin-0673,42
Loc090116-4m_megahit_metabat_bin-0822,17
Loc090519-5m_megahit_metabat_bin-1154,93
Loc081215-8m_megahit_metabat_bin-1231,30
Loclat_megahit_metabat_bin-12341,67
Loc090402-8m_megahit_metabat_bin-0517,64
Loc090907-8m_megahit_metabat_bin-499,75
Loc090721-1m_megahit_metabat_bin-418,12
Loc090116-7m_megahit_metabat_bin-1216,29
Loc090519-5m_megahit_metabat_bin-0571,23
Loclat_megahit_metabat_bin-16566,37
Loclat_megahit_metabat_bin-06643,13
Loc090519-5m_megahit_metabat_bin-0376,24
Loc081215-5m_megahit_metabat_bin-0431,72
Loc080925-4m_megahit_metabat_bin-0329,23
Loc080925-4-5m_megahit_metabat_bin-0281,2687
Loc090519-5m_megahit_metabat_bin-1404,12
Loc090519-6m_megahit_metabat_bin-1159,11
Loc080925-7m_megahit_metabat_bin-0369,16
Loc090519-8-7m_megahit_metabat_bin-0903,16
Loclat_megahit_metabat_bin-13796,82
Loc090519-8m_megahit_metabat_bin-0791,22
Loc080925-8m_megahit_metabat_bin-117,26
